PosX, PosY, PosZ, NormVecX, NormVecY, NormVecZ,Value, IsRightHand
0.1,0.2,0.1,0.417085966,0.80265877,0.426354543,77.31956941,1
0.1,0.2,0.2,0.385367905,0.692234941,0.61016585,74.47548213,1
0.1,0.2,0.3,0.270328118,0.608685829,0.745938516,72.24206981,1
0.1,0.2,0.4,0.28515595,0.469362531,0.835694262,69.82668125,1
0.2,-0.4,-0.3,0.410124939,-0.708604756,-0.574174915,76.42356326,1
0.2,-0.4,-0.2,0.571270056,-0.740535257,-0.353918149,77.15914989,1
0.2,-0.4,-0.1,0.583828069,-0.809826031,-0.057676563,76.2816671,1
0.2,-0.4,0,0.650107807,-0.696544079,0.303621778,74.47086006,1
0.2,-0.4,0.1,0.544369131,-0.750114945,0.37548611,73.67910231,1
0.2,-0.4,0.2,0.472799542,-0.639836507,0.605862887,72.47009428,1
0.2,-0.4,0.3,0.425499375,-0.356870443,0.831621169,70.92911689,1
